City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
166,Klaksvik,62.2266,-6.589,49.12,82,56,13.24,FO,broken clouds
167,Auki,-8.7676,160.7034,75.45,87,100,8.99,SB,overcast clouds
168,Bengkulu,-3.8004,102.2655,74.89,89,89,4.99,ID,overcast clouds
169,Mahenge,-8.6833,36.7167,65.03,52,83,0.87,TZ,broken clouds
170,Teya,60.3778,92.6267,59.2,72,100,2.66,RU,overcast clouds
171,Vung Tau,10.346,107.0843,80.73,82,90,17.52,VN,overcast clouds
172,Kununurra,-15.7667,128.7333,66.18,94,5,0.0,AU,clear sky
173,Samarai,-10.6167,150.6667,75.0,70,99,6.67,PG,overcast clouds
174,Murygino,58.7383,49.4582,62.4,73,36,4.23,RU,scattered clouds
175,Gizo,-8.103,156.8419,79.68,82,54,11.77,SB,light rain
176,Manado,1.487,124.8455,75.97,94,20,1.14,ID,few clouds
177,Honningsvag,70.9821,25.9704,44.35,93,75,12.66,NO,light rain
178,Dunda,-8.1167,34.25,63.79,55,73,2.75,TZ,broken clouds
179,Zhangjiakou,40.81,114.8794,61.72,77,1,4.36,CN,clear sky
180,Jega,12.2175,4.3792,83.19,66,83,9.48,NG,light rain
181,East London,-33.0153,27.9116,63.81,57,10,15.9,ZA,clear sky
182,Salzkotten,51.6717,8.6009,61.48,92,0,4.0,DE,light rain
183,Ormara,25.2088,64.6357,81.54,86,100,17.67,PK,overcast clouds
184,Flinders,-34.5833,150.8552,47.21,92,2,4.27,AU,clear sky
185,Balkhash,46.844,74.9804,79.16,33,2,8.55,KZ,clear sky
186,Tete,-16.1564,33.5867,68.95,49,0,3.76,MZ,clear sky
187,Barzas,55.7167,86.3167,64.63,92,50,2.46,RU,scattered clouds
188,Kanniyakumari,8.0833,77.5667,80.19,77,92,21.85,IN,overcast clouds
189,Nsukka,6.8561,7.3927,71.15,89,100,4.21,NG,light rain
190,Pitea,65.3172,21.4794,60.89,86,100,8.21,SE,overcast clouds
191,Kalmunai,7.4167,81.8167,81.95,71,100,3.87,LK,overcast clouds
192,Hervey Bay,-25.2986,152.8535,65.01,93,2,3.0,AU,clear sky
193,Nakamura,32.9833,132.9333,76.08,93,89,2.44,JP,overcast clouds
194,Tonj,7.2737,28.6822,70.57,96,100,4.52,SS,light rain
195,Srandakan,-7.9386,110.2506,74.98,87,25,6.2,ID,scattered clouds
196,Marzuq,14.4,46.4667,82.33,51,93,3.96,YE,overcast clouds
197,Gladstone,-23.85,151.25,57.78,94,75,0.0,AU,broken clouds
198,Karratha,-20.7377,116.8463,61.74,40,0,12.17,AU,clear sky
199,Lahore,31.5497,74.3436,85.98,74,40,6.91,PK,smoke
200,Kemin,42.7846,75.6892,67.28,28,100,5.79,KG,overcast clouds
201,Cairns,-16.9167,145.7667,67.95,93,90,8.05,AU,overcast clouds
202,Phonhong,18.5007,102.4166,76.42,94,100,1.63,LA,overcast clouds
203,Taybad,34.74,60.7756,80.47,13,0,19.55,IR,clear sky
204,Pontianak,-0.0333,109.3333,76.98,100,90,1.14,ID,overcast clouds
205,Odweyne,9.4092,45.064,75.0,48,2,19.89,SO,clear sky
206,Konstantinovka,49.6167,127.9833,57.09,94,100,3.91,RU,overcast clouds
207,Svetlaya,46.5389,138.3297,62.44,92,96,11.99,RU,overcast clouds
208,Yekaterinovka,52.0508,44.3451,73.58,56,10,4.16,RU,clear sky
209,Rockhampton,-23.3833,150.5,55.29,100,90,0.0,AU,mist
210,Luena,-11.7833,19.9167,60.76,37,0,3.44,AO,clear sky
211,Mareeba,-17.0,145.4333,63.32,93,29,2.19,AU,scattered clouds
212,Strelka,58.0728,93.0344,57.36,95,97,1.48,RU,overcast clouds
213,Xining,36.6167,101.7667,60.75,62,31,3.89,CN,scattered clouds
214,Zhanaozen,43.3,52.8,87.64,17,1,2.8,KZ,clear sky
215,Kota Kinabalu,5.9749,116.0724,76.98,94,40,2.3,MY,scattered clouds
216,Payo,-3.7508,103.6372,71.17,97,96,2.26,ID,overcast clouds
217,Manono,-7.3,27.4167,76.95,32,1,5.37,CD,clear sky
218,Saint-Paul,-21.0096,55.2707,69.89,68,32,2.46,RE,scattered clouds
219,Sala,34.0389,-6.8166,70.75,68,0,6.91,MA,clear sky
220,Kudahuvadhoo,2.6708,72.8944,82.72,70,100,5.35,MV,overcast clouds
221,Zhob,31.3411,69.4481,85.55,35,2,0.63,PK,clear sky
222,Vanavara,60.34,102.2797,54.79,62,45,4.81,RU,scattered clouds
223,Perevolotskiy,51.8763,54.1938,76.59,41,52,2.46,RU,broken clouds
224,Raudeberg,61.9875,5.1352,56.8,75,19,16.98,NO,few clouds
225,Saskylakh,71.9167,114.0833,65.25,49,0,5.37,RU,clear sky
226,Mehamn,71.0357,27.8492,49.91,98,100,10.13,NO,light rain
227,Zhigansk,66.7697,123.3711,60.69,73,48,11.34,RU,scattered clouds
228,Daru,-9.0763,143.2092,75.54,75,41,13.89,PG,scattered clouds
229,Yumen,40.2833,97.2,70.56,39,100,17.27,CN,overcast clouds
230,Awjilah,29.1081,21.2869,93.92,14,5,10.74,LY,clear sky
231,Samarinda,-0.5,117.15,73.04,99,79,2.1,ID,broken clouds
232,Port Alfred,-33.5906,26.891,61.83,74,19,25.86,ZA,few clouds
233,Broken Hill,-31.95,141.4333,46.56,80,0,10.02,AU,clear sky
234,Kidal,18.4411,1.4078,96.3,32,21,8.61,ML,few clouds
235,Ossora,59.2353,163.0719,53.15,75,100,7.9,RU,overcast clouds
236,Nola,40.922,14.5329,87.31,54,26,6.33,IT,scattered clouds
237,Makasar,-5.14,119.4221,77.05,94,20,2.3,ID,few clouds
238,Khandyga,62.6667,135.6,53.96,57,0,3.83,RU,clear sky
239,Dudinka,69.4058,86.1778,50.92,96,100,7.09,RU,overcast clouds
240,Mahibadhoo,3.7833,72.9667,81.9,76,100,8.21,MV,overcast clouds
241,Ambon,-3.6954,128.1814,78.84,83,63,5.46,ID,broken clouds
242,Katsuura,35.1333,140.3,80.71,86,1,6.64,JP,clear sky
243,Pizhanka,57.4604,48.542,64.76,63,86,6.42,RU,overcast clouds
244,Guna,24.65,77.3167,73.78,98,100,17.29,IN,very heavy rain
245,Aksarka,66.5606,67.7975,56.52,99,100,5.35,RU,overcast clouds
246,Port Elizabeth,-33.918,25.5701,59.29,77,40,25.32,ZA,scattered clouds
247,Kainantu,-6.2887,145.8655,57.25,98,76,1.77,PG,broken clouds
248,Riyadh,24.6877,46.7219,100.54,9,3,5.03,SA,clear sky
249,Bereda,43.2686,-7.5406,63.0,99,94,4.92,ES,overcast clouds
250,Eyl,7.9803,49.8164,85.57,53,11,23.42,SO,few clouds
251,Novosokolniki,56.3463,30.1578,64.08,66,100,5.21,RU,light rain
252,Swellendam,-34.0226,20.4417,52.9,87,84,0.98,ZA,broken clouds
253,Serenje,-13.2325,30.2352,57.83,68,100,7.31,ZM,overcast clouds
254,Uruzgan,32.8333,66.0,76.33,16,0,1.1,AF,clear sky
255,Alyangula,-13.8483,136.4192,62.47,100,40,3.44,AU,scattered clouds
