City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
395,Gusinoye Ozero,RU,64.74,overcast clouds,51.1144,106.2614,Gusi-Lebedi Baza Otdykha
397,Chamrajnagar,IN,71.4,overcast clouds,11.9167,76.95,Nijaguna Resort - Near BR Hills & K gudi Wildlife
400,Orhei,MD,77.79,clear sky,47.3831,28.8231,Chateau Vartely
401,Nova Odesa,UA,75.6,few clouds,47.3078,31.7851,У Саши
402,Alekseyevka,RU,76.6,clear sky,50.6309,38.6903,Apartment on Ploshchad Pobedy
403,Sarangani,PH,83.26,broken clouds,5.4033,125.4636,Ballistic Islet
405,Jamestown,US,69.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
406,Wronki,PL,63.61,broken clouds,52.7105,16.3804,Hotel Olympic
407,Hasaki,JP,75.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
412,Altay,CN,60.15,broken clouds,47.8667,88.1167,Jinqiao Hotel
413,Antibes,FR,81.86,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
414,Kyzyl-Suu,KG,61.9,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
415,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
416,Taman,RU,73.72,clear sky,45.2117,36.7161,Staryy Gorod G. Taman
417,Abalak,RU,61.59,light rain,58.1286,68.5944,Туристический комплекс Абалак
418,Yudong,CN,83.84,light rain,29.385,106.5194,Manyue Condo Hotel
419,Linqiong,CN,76.53,clear sky,30.4159,103.4609,Tianlun Tanxianglou Hotel
420,Port-Gentil,GA,76.44,overcast clouds,-0.7193,8.7815,Fengshui Residence
421,Shache,CN,76.78,overcast clouds,38.4167,77.2406,Delong Hotel
422,Gigmoto,PH,81.28,overcast clouds,13.7796,124.39,Cj's Travellers Inn
425,Sola,VU,75.33,overcast clouds,-13.8833,167.55,Leumerus Bungalows
430,Masty,BY,63.09,moderate rain,53.4122,24.5387,Gostinitsa Masty
432,Kodinar,IN,80.92,overcast clouds,20.7903,70.7031,residency of N.B vadhel
433,Ystad,SE,64.98,overcast clouds,55.4297,13.8204,Continental du Sud
435,Bardiyah,LY,81.88,clear sky,31.7561,25.0865,بورتو بردية
437,Lokhvytsya,UA,77.5,scattered clouds,50.3678,33.2602,Ukraine
438,Northam,GB,64.38,clear sky,51.0333,-4.2167,Durrant House Hotel
439,Tezu,IN,75.79,scattered clouds,27.9167,96.1667,Circuit House
441,Pangody,RU,60.98,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
444,Helsinki,FI,65.03,few clouds,60.1695,24.9355,Scandic Hotel Simonkenttä
446,Tshikapa,CD,80.15,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
448,Beidao,CN,69.98,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
450,Carquefou,FR,67.08,few clouds,47.2982,-1.4902,Best Western Plus Hôtel de la Régate
453,Kuah,MY,83.8,broken clouds,6.3265,99.8432,Azio Hotel
454,Cigand,HU,67.87,scattered clouds,48.2556,21.892,Éva panzió
455,Minna,NG,70.7,light rain,9.6139,6.5569,Royal Park hotel & suites
458,Varnamo,SE,60.06,overcast clouds,57.186,14.04,Scandic
