City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Souillac,MU,2021-08-01 05:26:16,-20.5167,57.5167,74.35,64,40,18.41
139,Bluff,NZ,2021-08-01 05:33:23,-46.6,168.3333,48.79,92,90,3.65
140,Ohara,JP,2021-08-01 05:33:23,35.25,140.3833,91.35,72,5,11.07
141,Heihe,CN,2021-08-01 05:33:24,50.2441,127.4902,59.58,99,100,9.01
142,Mitchell,US,2021-08-01 05:33:24,43.7094,-98.0298,66.11,75,1,6.91
143,Ilulissat,GL,2021-08-01 05:33:25,69.2167,-51.1,44.62,81,71,1.14
144,Hamilton,US,2021-08-01 05:28:35,39.1834,-84.5333,65.62,88,1,1.01
145,Hirara,JP,2021-08-01 05:33:25,24.8,125.2833,80.87,94,75,12.66
146,Hilo,US,2021-08-01 05:33:26,19.7297,-155.09,78.53,77,75,3.44
147,Rawalpindi,PK,2021-08-01 05:33:25,33.6007,73.0679,88.23,63,46,3.0
148,Peniche,PT,2021-08-01 05:33:26,39.3558,-9.3811,62.62,91,23,9.78
149,Laguna,US,2021-08-01 05:33:27,38.421,-121.4238,84.7,51,1,1.99
150,Tual,ID,2021-08-01 05:26:20,-5.6667,132.75,81.48,76,74,9.73
151,Faanui,PF,2021-08-01 05:33:28,-16.4833,-151.75,77.2,67,64,15.86
152,Mogocha,RU,2021-08-01 05:33:28,53.7333,119.7667,52.56,93,100,5.75
153,Vardo,NO,2021-08-01 05:26:10,70.3705,31.1107,48.88,91,100,7.78
154,Knysna,ZA,2021-08-01 05:33:29,-34.0363,23.0471,50.38,63,82,4.09
155,Inhambane,MZ,2021-08-01 05:25:16,-23.865,35.3833,55.38,100,20,0.0
156,Nizhniy Ingash,RU,2021-08-01 05:33:30,56.2,96.53,64.45,75,100,3.91
157,Sola,VU,2021-08-01 05:26:55,-13.8833,167.55,76.41,66,68,11.45
158,Kutum,SD,2021-08-01 05:25:10,14.2,24.6667,70.07,79,47,3.78
159,Presidencia Roque Saenz Pena,AR,2021-08-01 05:33:30,-26.7852,-60.4388,52.48,62,80,1.07
160,Champerico,GT,2021-08-01 05:33:31,14.3,-91.9167,81.28,84,24,3.62
161,Key Biscayne,US,2021-08-01 05:31:10,25.6937,-80.1628,84.24,77,20,3.44
162,San Andres,CO,2021-08-01 05:33:31,12.5847,-81.7006,84.22,74,40,17.27
163,Winneba,GH,2021-08-01 05:33:32,5.3511,-0.6231,77.47,93,68,5.08
164,Sioux Lookout,CA,2021-08-01 05:33:32,50.1001,-91.917,60.87,67,20,8.05
